ts,lat,lon,sog
2021-12-16 10:15:09,55.5753,14.35452,0.8
2021-12-16 10:15:19,55.575315,14.354562,0.5
2021-12-16 10:15:37,55.575322,14.354553,0.8
2021-12-16 10:16:09,55.575333,14.354528,0.6
2021-12-16 10:16:19,55.575323,14.354545,0.5
2021-12-16 10:16:37,55.575305,14.35451,0.8
2021-12-16 10:16:48,55.575328,14.354465,0.9
2021-12-16 10:17:19,55.575295,14.354543,2.7
2021-12-16 10:17:28,55.575248,14.354538,2.5
2021-12-16 10:17:38,55.575162,14.354755,3.2
2021-12-16 10:17:48,55.57516,14.354987,2.8
2021-12-16 10:17:58,55.575177,14.355213,3.5
2021-12-16 10:18:08,55.575203,14.355443,1.3
2021-12-16 10:18:19,55.57519,14.355567,0.8
2021-12-16 10:18:28,55.575163,14.355608,1.4
2021-12-16 10:18:38,55.575145,14.355618,0.7
2021-12-16 10:18:58,55.575158,14.35576,0.6
2021-12-16 10:19:08,55.575132,14.355758,0.8
2021-12-16 10:19:47,55.575138,14.35593,0.6
2021-12-16 10:19:58,55.575123,14.355972,1.2
2021-12-16 10:20:18,55.575127,14.356067,1.3
2021-12-16 10:20:28,55.57516,14.356123,0.8
2021-12-16 10:20:38,55.575158,14.356173,1.6
2021-12-16 10:20:47,55.575157,14.356212,1.0
2021-12-16 10:21:08,55.575178,14.356312,0.8
2021-12-16 10:21:18,55.575147,14.356347,0.6
2021-12-16 10:21:28,55.575145,14.356377,0.5
2021-12-16 10:21:47,55.575168,14.35646,0.6
2021-12-16 10:22:18,55.575193,14.356545,0.6
2021-12-16 10:22:28,55.575165,14.35659,1.7
2021-12-16 10:22:38,55.57516,14.356562,1.1
2021-12-16 10:23:07,55.575195,14.356623,0.8
2021-12-16 10:23:40,55.575192,14.356723,0.8
2021-12-16 10:23:47,55.575187,14.356763,0.6
2021-12-16 10:24:18,55.575195,14.356872,0.7
2021-12-16 10:24:47,55.57523,14.356942,0.5
2021-12-16 10:24:59,55.575242,14.356948,0.5
2021-12-16 10:25:07,55.575245,14.356955,0.5
2021-12-16 10:25:37,55.5753,14.356897,1.2
2021-12-16 10:26:19,55.575195,14.356942,2.9
2021-12-16 10:26:29,55.575155,14.356467,10.1
2021-12-16 10:26:37,55.575052,14.355815,7.4
2021-12-16 10:26:59,55.574962,14.354895,4.4
2021-12-16 10:27:07,55.575,14.354637,2.8
2021-12-16 10:27:19,55.575073,14.354482,2.8
2021-12-16 10:27:29,55.57515,14.354332,2.1
2021-12-16 10:27:37,55.575232,14.354268,2.1
2021-12-16 10:27:47,55.575322,14.35423,1.5
2021-12-16 10:27:59,55.575368,14.354167,1.3
2021-12-16 10:28:09,55.575385,14.3541,0.9
2021-12-16 10:28:19,55.575352,14.354068,1.2
2021-12-16 10:28:29,55.575282,14.354052,1.3
2021-12-16 10:28:47,55.575178,14.353975,0.7
2021-12-16 10:28:59,55.575182,14.353927,0.5
2021-12-16 10:29:09,55.575227,14.353922,1.1
2021-12-16 10:29:47,55.57528,14.35391,0.5
2021-12-16 10:30:29,55.575342,14.353797,0.6
2021-12-16 10:30:47,55.575338,14.353815,4.1
2021-12-16 10:30:58,55.575198,14.354152,5.6
2021-12-16 10:31:09,55.575025,14.354505,5.4
2021-12-16 10:31:18,55.574995,14.354888,3.3
2021-12-16 10:31:27,55.575097,14.354897,3.9
2021-12-16 10:31:38,55.575265,14.354597,4.6
2021-12-16 10:31:47,55.575375,14.35436,3.6
2021-12-16 10:31:58,55.575418,14.354255,0.6
2021-12-16 10:32:18,55.575408,14.354253,0.5
2021-12-16 10:34:38,55.575407,14.354223,0.8
2021-12-16 10:34:48,55.575402,14.354357,2.0
2021-12-16 10:34:57,55.575372,14.354468,1.5
