ts,lat,lon,sog
2021-12-13 08:35:33,55.248797,14.218292,0.6
2021-12-13 08:35:36,55.248798,14.218303,0.8
2021-12-13 08:35:39,55.248802,14.218308,0.6
2021-12-13 08:35:42,55.248805,14.21832,0.5
2021-12-13 08:35:45,55.248808,14.218325,0.5
2021-12-13 08:35:49,55.248812,14.218338,0.5
2021-12-13 08:35:52,55.248815,14.218348,0.5
2021-12-13 08:35:56,55.248817,14.218357,0.5
2021-12-13 08:35:59,55.248825,14.218363,0.5
2021-12-13 08:36:02,55.248825,14.218365,0.5
2021-12-13 08:36:05,55.24883,14.218373,0.5
2021-12-13 08:36:16,55.248843,14.218397,0.5
2021-12-13 08:36:19,55.248843,14.218407,0.6
2021-12-13 08:36:22,55.24885,14.218415,0.6
2021-12-13 08:36:25,55.248857,14.218415,0.5
2021-12-13 08:36:33,55.248865,14.218428,0.6
2021-12-13 08:36:36,55.24887,14.218438,0.7
2021-12-13 08:36:39,55.248867,14.218442,0.9
2021-12-13 08:36:42,55.248873,14.218448,1.0
2021-12-13 08:36:45,55.24888,14.218455,0.9
2021-12-13 08:36:49,55.248882,14.218462,0.9
2021-12-13 08:36:51,55.248887,14.218468,0.8
2021-12-13 08:36:56,55.24889,14.218473,1.0
2021-12-13 08:36:59,55.248893,14.218475,1.0
2021-12-13 08:37:02,55.248893,14.218475,0.8
2021-12-13 08:37:05,55.248903,14.218478,0.7
2021-12-13 08:37:07,55.248903,14.218478,0.7
2021-12-13 08:37:08,55.24891,14.218482,0.8
2021-12-13 08:37:13,55.248913,14.218483,0.7
2021-12-13 08:37:16,55.248917,14.218485,0.6
2021-12-13 08:37:19,55.248922,14.218487,0.5
2021-12-13 08:37:22,55.24893,14.218493,0.6
2021-12-13 08:37:26,55.248938,14.218502,0.7
2021-12-13 08:37:29,55.248938,14.218502,0.7
2021-12-13 08:37:33,55.248938,14.2185,0.7
2021-12-13 08:37:36,55.248943,14.218502,0.8
2021-12-13 08:37:39,55.24895,14.218502,0.7
2021-12-13 08:37:42,55.248953,14.218502,0.6
2021-12-13 08:37:59,55.248975,14.218512,0.5
2021-12-13 08:38:02,55.248973,14.21851,0.5
2021-12-13 08:38:06,55.248977,14.218517,0.6
2021-12-13 08:38:09,55.248982,14.21852,0.5
2021-12-13 08:38:13,55.248988,14.218525,0.5
2021-12-13 08:38:19,55.248992,14.218525,0.5
2021-12-13 08:38:22,55.249,14.218525,0.6
2021-12-13 08:38:26,55.24901,14.218527,0.5
2021-12-13 08:38:29,55.24901,14.218525,0.5
2021-12-13 08:38:32,55.249017,14.21853,0.6
2021-12-13 08:38:35,55.249022,14.218528,0.6
2021-12-13 08:38:42,55.249037,14.218538,0.5
2021-12-13 08:38:45,55.249042,14.218555,0.7
2021-12-13 08:38:48,55.249048,14.218575,0.9
2021-12-13 08:38:52,55.249048,14.218582,0.8
2021-12-13 08:38:56,55.24905,14.21856,0.9
2021-12-13 08:38:59,55.249055,14.218553,0.7
2021-12-13 08:39:02,55.249055,14.218555,0.6
2021-12-13 08:39:06,55.249063,14.218548,0.6
2021-12-13 08:39:09,55.249077,14.218527,0.7
2021-12-13 08:39:13,55.249088,14.218502,0.9
2021-12-13 08:39:15,55.249097,14.218487,1.0
2021-12-13 08:39:19,55.2491,14.218458,1.1
2021-12-13 08:39:22,55.249108,14.218415,1.3
2021-12-13 08:39:26,55.249108,14.218388,1.2
2021-12-13 08:39:29,55.249112,14.218353,1.2
2021-12-13 08:39:33,55.24911,14.218332,1.0
2021-12-13 08:39:35,55.24912,14.218325,0.9
2021-12-13 08:39:39,55.249128,14.218323,0.8
2021-12-13 08:39:41,55.249127,14.218315,0.8
2021-12-13 08:39:46,55.249123,14.218308,0.6
2021-12-13 08:39:49,55.249123,14.218295,0.7
2021-12-13 08:39:56,55.249118,14.218257,0.8
2021-12-13 08:39:59,55.249117,14.218238,0.7
2021-12-13 08:40:02,55.249117,14.218227,0.8
2021-12-13 08:40:06,55.249108,14.218198,1.0
2021-12-13 08:40:09,55.249092,14.218172,1.3
2021-12-13 08:40:13,55.249063,14.218122,1.6
2021-12-13 08:40:16,55.24905,14.218103,1.7
2021-12-13 08:40:19,55.24903,14.218065,1.6
2021-12-13 08:40:22,55.249017,14.21804,1.5
2021-12-13 08:40:26,55.249,14.218008,1.4
2021-12-13 08:40:29,55.248992,14.217993,1.3
2021-12-13 08:40:33,55.248983,14.217972,1.2
2021-12-13 08:40:35,55.248967,14.217942,1.4
2021-12-13 08:40:39,55.248932,14.217888,2.1
2021-12-13 08:40:42,55.248902,14.217825,2.6
2021-12-13 08:40:45,55.248862,14.217757,3.2
2021-12-13 08:40:49,55.248803,14.217645,3.8
2021-12-13 08:40:52,55.248758,14.217557,4.4
2021-12-13 08:40:56,55.248708,14.21746,4.9
2021-12-13 08:40:59,55.248632,14.217315,5.3
2021-12-13 08:41:02,55.248595,14.21725,5.5
2021-12-13 08:41:06,55.248493,14.217087,5.7
2021-12-13 08:41:09,55.248428,14.216997,5.9
2021-12-13 08:41:13,55.248333,14.216868,6.3
2021-12-13 08:41:16,55.24828,14.2168,6.5
2021-12-13 08:41:19,55.248177,14.216648,6.9
2021-12-13 08:41:22,55.248093,14.216523,7.5
2021-12-13 08:41:26,55.24798,14.216353,7.8
2021-12-13 08:41:29,55.247893,14.216222,7.9
2021-12-13 08:41:33,55.247802,14.216115,8.0
2021-12-13 08:41:35,55.24771,14.216027,8.0
2021-12-13 08:41:39,55.247578,14.215915,8.0
2021-12-13 08:41:42,55.247477,14.215828,8.1
2021-12-13 08:41:45,55.247373,14.21574,8.1
2021-12-13 08:41:49,55.247242,14.215612,8.3
2021-12-13 08:41:52,55.247138,14.21551,8.2
2021-12-13 08:41:59,55.246903,14.215257,8.3
2021-12-13 08:42:02,55.246837,14.215183,8.4
2021-12-13 08:42:05,55.2467,14.215043,8.4
2021-12-13 08:42:09,55.246602,14.214942,8.4
2021-12-13 08:42:13,55.246437,14.214775,8.3
2021-12-13 08:42:19,55.24624,14.214567,8.3
2021-12-13 08:42:22,55.24614,14.214457,8.3
2021-12-13 08:42:26,55.246042,14.214347,8.4
2021-12-13 08:42:29,55.245915,14.2142,8.4
2021-12-13 08:42:33,55.24582,14.214092,8.3
2021-12-13 08:42:36,55.245688,14.213945,8.3
2021-12-13 08:42:39,55.24559,14.213843,8.4
2021-12-13 08:42:42,55.245492,14.213738,8.3
2021-12-13 08:42:49,55.245258,14.213492,8.3
2021-12-13 08:42:51,55.245167,14.213398,8.3
2021-12-13 08:42:55,55.245033,14.213247,8.2
