ts,lat,lon,sog
2021-12-29 13:35:00,55.203617,14.656603,17.3
2021-12-29 13:35:28,55.202928,14.660537,18.3
2021-12-29 13:35:59,55.202175,14.664787,19.9
2021-12-29 13:36:28,55.201688,14.669423,19.4
2021-12-29 13:37:29,55.199268,14.678123,20.9
2021-12-29 13:38:28,55.19566,14.68535,20.2
2021-12-29 13:38:29,55.19566,14.68535,20.2
2021-12-29 13:38:31,55.19566,14.68535,20.2
2021-12-29 13:38:59,55.19357,14.688465,19.9
2021-12-29 13:39:29,55.191328,14.691327,20.0
2021-12-29 13:39:58,55.189353,14.694732,19.5
2021-12-29 13:40:30,55.18828,14.696362,0.9
2021-12-29 13:41:28,55.188705,14.69639,6.8
2021-12-29 13:41:58,55.189343,14.69765,6.4
2021-12-29 13:42:29,55.189113,14.698982,5.9
2021-12-29 13:43:01,55.18847,14.699912,5.7
2021-12-29 13:43:28,55.188062,14.700848,4.7
2021-12-29 13:44:29,55.188623,14.701807,2.3
2021-12-29 13:44:30,55.188623,14.701807,2.3
2021-12-29 13:44:31,55.188623,14.701807,2.3
2021-12-29 13:44:58,55.188695,14.702312,2.5
