ts,lat,lon,sog
2021-12-16 04:42:11,55.309955,14.766895,17.7
2021-12-16 04:42:12,55.310003,14.766777,17.7
2021-12-16 04:42:14,55.310098,14.766542,17.8
2021-12-16 04:42:18,55.310282,14.766062,17.8
2021-12-16 04:42:21,55.31042,14.765712,17.7
2021-12-16 04:42:23,55.310505,14.765472,17.6
2021-12-16 04:42:25,55.310593,14.765227,17.7
2021-12-16 04:42:27,55.310673,14.76498,17.6
2021-12-16 04:42:30,55.310803,14.764613,17.7
2021-12-16 04:42:33,55.310952,14.764263,17.7
2021-12-16 04:42:35,55.311007,14.764152,17.6
2021-12-16 04:42:39,55.311215,14.763707,17.7
2021-12-16 04:42:43,55.311463,14.763205,16.7
2021-12-16 04:42:46,55.311598,14.762905,16.4
2021-12-16 04:42:48,55.311707,14.762732,16.3
2021-12-16 04:42:51,55.311863,14.762435,16.5
2021-12-16 04:42:53,55.311973,14.762235,16.5
2021-12-16 04:42:55,55.312027,14.76213,16.7
2021-12-16 04:42:57,55.312192,14.761825,16.9
2021-12-16 04:42:59,55.312305,14.76162,17.1
2021-12-16 04:43:00,55.312367,14.761525,17.3
2021-12-16 04:43:02,55.312483,14.761332,17.3
2021-12-16 04:43:04,55.312615,14.76117,17.2
2021-12-16 04:43:06,55.312682,14.761097,17.1
2021-12-16 04:43:09,55.312963,14.76082,17.2
2021-12-16 04:43:11,55.313108,14.760678,17.4
2021-12-16 04:43:13,55.313248,14.76053,17.4
2021-12-16 04:43:14,55.31331,14.760457,17.4
2021-12-16 04:43:20,55.313668,14.760067,15.8
2021-12-16 04:43:23,55.313858,14.75992,15.4
2021-12-16 04:43:25,55.313993,14.75986,15.1
2021-12-16 04:43:26,55.314062,14.759827,15.0
2021-12-16 04:43:29,55.314273,14.759797,14.9
2021-12-16 04:43:30,55.314342,14.759802,14.8
2021-12-16 04:43:33,55.314555,14.759858,14.8
2021-12-16 04:43:35,55.314693,14.759915,14.9
2021-12-16 04:43:36,55.314758,14.759938,14.7
2021-12-16 04:43:38,55.314877,14.760025,14.3
2021-12-16 04:43:43,55.315175,14.760378,14.4
2021-12-16 04:43:45,55.315315,14.760555,16.0
2021-12-16 04:43:46,55.31539,14.760643,16.6
2021-12-16 04:43:48,55.315543,14.760847,17.8
2021-12-16 04:43:51,55.31579,14.761107,19.0
