ts,lat,lon,sog
2021-12-13 06:47:36,55.245208,14.232217,0.7
2021-12-13 06:47:51,55.245238,14.23222,0.5
2021-12-13 06:47:53,55.245242,14.23222,0.5
2021-12-13 06:48:03,55.245263,14.232215,0.6
2021-12-13 06:48:18,55.245307,14.232225,0.9
2021-12-13 06:48:20,55.24531,14.232235,0.7
2021-12-13 06:48:24,55.245325,14.232245,0.8
2021-12-13 06:48:27,55.245333,14.232237,0.9
2021-12-13 06:48:31,55.24535,14.232228,1.0
2021-12-13 06:48:34,55.245358,14.232225,1.0
2021-12-13 06:48:36,55.245367,14.23222,0.5
2021-12-13 06:48:41,55.245377,14.232213,1.1
2021-12-13 06:48:44,55.245388,14.232213,0.8
2021-12-13 06:48:46,55.245393,14.232208,1.3
2021-12-13 06:48:49,55.245398,14.232213,0.8
2021-12-13 06:48:53,55.245412,14.23222,0.6
2021-12-13 06:48:57,55.24542,14.232222,1.5
2021-12-13 06:48:59,55.245428,14.232215,0.9
2021-12-13 06:49:03,55.245437,14.232223,0.8
2021-12-13 06:49:24,55.245478,14.232245,0.7
2021-12-13 06:49:34,55.245498,14.232245,1.0
2021-12-13 06:49:44,55.24552,14.23225,0.7
2021-12-13 06:50:03,55.245553,14.232252,0.9
2021-12-13 06:50:24,55.245602,14.232255,0.5
2021-12-13 06:50:44,55.24561,14.232267,1.9
2021-12-13 06:50:53,55.245475,14.232302,3.8
2021-12-13 06:51:03,55.245265,14.232332,4.8
2021-12-13 06:51:14,55.244967,14.232323,5.3
2021-12-13 06:51:18,55.24489,14.232335,5.3
2021-12-13 06:51:20,55.244847,14.232358,5.1
2021-12-13 06:51:24,55.244765,14.232365,3.8
2021-12-13 06:51:27,55.244728,14.232373,4.1
2021-12-13 06:51:30,55.244657,14.232403,4.5
2021-12-13 06:51:34,55.244598,14.232425,4.4
2021-12-13 06:51:37,55.244513,14.232472,4.1
2021-12-13 06:51:44,55.244423,14.232585,3.8
2021-12-13 06:51:46,55.244385,14.232633,3.6
2021-12-13 06:51:51,55.244342,14.232683,2.6
2021-12-13 06:51:53,55.244307,14.232725,3.1
2021-12-13 06:51:58,55.244262,14.232765,2.5
2021-12-13 06:52:01,55.244238,14.232795,2.2
2021-12-13 06:52:03,55.24423,14.232805,1.5
2021-12-13 06:52:07,55.244202,14.232825,1.4
2021-12-13 06:52:10,55.24419,14.232843,1.0
2021-12-13 06:52:14,55.244163,14.23286,1.5
2021-12-13 06:52:17,55.244142,14.232873,1.4
2021-12-13 06:52:20,55.244117,14.232887,1.5
2021-12-13 06:52:23,55.244102,14.23291,1.9
2021-12-13 06:52:28,55.24406,14.232975,3.4
2021-12-13 06:52:30,55.244022,14.233013,4.1
2021-12-13 06:52:34,55.243957,14.233055,3.7
2021-12-13 06:52:38,55.2439,14.233082,4.5
2021-12-13 06:52:41,55.243823,14.233127,4.6
2021-12-13 06:52:44,55.243785,14.233128,4.5
2021-12-13 06:52:47,55.243723,14.23316,4.1
2021-12-13 06:52:51,55.243633,14.233215,4.4
2021-12-13 06:52:53,55.243592,14.233242,4.3
2021-12-13 06:52:57,55.243517,14.233277,4.3
2021-12-13 06:53:01,55.24346,14.233298,4.4
2021-12-13 06:53:03,55.243428,14.233303,4.1
2021-12-13 06:53:07,55.243348,14.233318,3.5
2021-12-13 06:53:10,55.243312,14.233325,2.6
2021-12-13 06:53:14,55.243272,14.23334,2.8
2021-12-13 06:53:17,55.243225,14.23335,2.4
2021-12-13 06:53:20,55.243202,14.233345,2.3
2021-12-13 06:53:23,55.243172,14.233333,2.6
2021-12-13 06:53:26,55.24315,14.233342,2.4
2021-12-13 06:53:30,55.24313,14.233337,1.1
2021-12-13 06:53:34,55.243102,14.233332,1.0
2021-12-13 06:53:38,55.243093,14.233337,1.3
2021-12-13 06:53:41,55.24309,14.233342,1.1
2021-12-13 06:53:44,55.243078,14.233338,0.9
2021-12-13 06:53:47,55.243072,14.233338,0.5
2021-12-13 06:53:50,55.243062,14.23336,1.0
2021-12-13 06:53:53,55.243052,14.233405,1.9
2021-12-13 06:53:57,55.243037,14.233433,1.0
2021-12-13 06:54:00,55.243025,14.233435,0.9
2021-12-13 06:54:04,55.243017,14.233438,1.1
2021-12-13 06:54:10,55.243,14.233407,0.8
2021-12-13 06:54:14,55.242997,14.233395,0.5
2021-12-13 06:54:20,55.24301,14.233393,2.3
2021-12-13 06:54:23,55.243007,14.233448,2.1
2021-12-13 06:54:26,55.243007,14.233483,1.6
2021-12-13 06:54:31,55.243013,14.233518,1.6
2021-12-13 06:54:38,55.242988,14.233525,1.4
2021-12-13 06:54:40,55.242967,14.233498,1.7
2021-12-13 06:54:44,55.242935,14.233473,2.3
2021-12-13 06:54:46,55.242902,14.233453,3.0
2021-12-13 06:54:51,55.242862,14.233402,2.7
2021-12-13 06:54:54,55.24284,14.233368,2.3
2021-12-13 06:54:56,55.242827,14.23334,2.0
2021-12-13 06:55:00,55.242805,14.233288,3.1
2021-12-13 06:55:04,55.242767,14.233158,5.3
2021-12-13 06:55:08,55.242752,14.232972,6.0
2021-12-13 06:55:11,55.242757,14.232783,5.5
2021-12-13 06:55:14,55.24278,14.232707,5.8
2021-12-13 06:55:17,55.242805,14.23251,5.9
2021-12-13 06:55:20,55.242822,14.232425,5.9
2021-12-13 06:55:23,55.24285,14.23223,6.1
2021-12-13 06:55:27,55.24288,14.232122,5.4
2021-12-13 06:55:31,55.242923,14.232008,3.6
2021-12-13 06:55:33,55.242923,14.232008,3.6
2021-12-13 06:55:34,55.242967,14.231937,3.3
2021-12-13 06:55:36,55.242977,14.231918,2.1
2021-12-13 06:55:39,55.242993,14.231908,1.3
2021-12-13 06:55:51,55.243045,14.231865,1.5
2021-12-13 06:55:54,55.243052,14.23186,1.2
2021-12-13 06:55:56,55.243063,14.231857,1.0
2021-12-13 06:56:01,55.243075,14.231835,1.1
2021-12-13 06:56:04,55.243083,14.231832,1.1
2021-12-13 06:56:06,55.243088,14.231823,0.6
2021-12-13 06:56:10,55.243098,14.231817,1.6
2021-12-13 06:56:17,55.243122,14.231803,0.7
2021-12-13 06:56:28,55.243155,14.231783,1.2
2021-12-13 06:56:31,55.243165,14.231777,1.4
2021-12-13 06:56:34,55.24317,14.231775,0.6
2021-12-13 06:56:37,55.243172,14.231773,1.8
2021-12-13 06:56:54,55.243213,14.231747,1.7
2021-12-13 06:56:57,55.243223,14.231745,2.1
2021-12-13 06:57:01,55.24323,14.231745,1.0
2021-12-13 06:57:07,55.243243,14.231732,0.5
2021-12-13 06:57:14,55.24325,14.231725,0.9
2021-12-13 06:57:17,55.243268,14.231713,1.0
2021-12-13 06:57:20,55.243272,14.231713,1.0
2021-12-13 06:57:23,55.243272,14.231715,1.3
2021-12-13 06:57:27,55.24328,14.231713,0.9
